timestamp,pod,status,memory_current_mi,memory_events_high,memory_events_oom_kill
2026-06-07T23:15:01-04:00,aggressor,Running,13111,36990,0
2026-06-07T23:15:03-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:15:03-04:00,burstable-holder,Running,108,0,0
2026-06-07T23:15:03-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:15:03-04:00,aggressor,Running,13115,39624,0
2026-06-07T23:15:05-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:15:05-04:00,burstable-holder,Running,108,0,0
2026-06-07T23:15:05-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:15:05-04:00,aggressor,Running,13139,43636,0
2026-06-07T23:15:07-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:15:07-04:00,burstable-holder,Running,108,0,0
2026-06-07T23:15:07-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:15:07-04:00,aggressor,Running,13157,46934,0
2026-06-07T23:15:10-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:15:10-04:00,burstable-holder,Running,108,0,0
2026-06-07T23:15:10-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:15:10-04:00,aggressor,Running,13174,49938,0
2026-06-07T23:15:12-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:15:12-04:00,burstable-holder,Running,108,0,0
2026-06-07T23:15:12-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:15:12-04:00,aggressor,Running,13188,52590,0
2026-06-07T23:15:14-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:15:14-04:00,burstable-holder,Running,107,0,0
2026-06-07T23:15:14-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:15:14-04:00,aggressor,Running,13202,55038,0
2026-06-07T23:15:17-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:15:17-04:00,burstable-holder,Running,107,0,0
2026-06-07T23:15:17-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:15:17-04:00,aggressor,Running,13161,57306,0
2026-06-07T23:15:19-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:15:19-04:00,burstable-holder,Running,105,0,0
2026-06-07T23:15:19-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:15:19-04:00,aggressor,Running,13160,59768,0
2026-06-07T23:15:21-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:15:21-04:00,burstable-holder,Running,105,0,0
2026-06-07T23:15:21-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:15:21-04:00,aggressor,Running,13161,61658,0
2026-06-07T23:15:24-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:15:24-04:00,burstable-holder,Running,105,0,0
2026-06-07T23:15:24-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:15:24-04:00,aggressor,Running,13161,63776,0
2026-06-07T23:15:26-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:15:26-04:00,burstable-holder,Running,105,0,0
2026-06-07T23:15:26-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:15:26-04:00,aggressor,Running,13160,65698,0
2026-06-07T23:15:28-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:15:28-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:15:28-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:15:28-04:00,aggressor,Running,13161,67814,0
2026-06-07T23:15:31-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:15:31-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:15:31-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:15:31-04:00,aggressor,Running,13161,69634,0
2026-06-07T23:15:33-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:15:33-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:15:33-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:15:33-04:00,aggressor,Running,13162,71366,0
2026-06-07T23:15:35-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:15:35-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:15:35-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:15:35-04:00,aggressor,Running,13161,73062,0
2026-06-07T23:15:37-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:15:37-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:15:37-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:15:37-04:00,aggressor,Running,13160,74940,0
2026-06-07T23:15:40-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:15:40-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:15:40-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:15:40-04:00,aggressor,Running,13160,76894,0
2026-06-07T23:15:42-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:15:42-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:15:42-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:15:42-04:00,aggressor,Running,13161,78838,0
2026-06-07T23:15:44-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:15:44-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:15:44-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:15:44-04:00,aggressor,Running,13162,80550,0
2026-06-07T23:15:47-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:15:47-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:15:47-04:00,besteffort-holder,Running,205,0,0
